Date,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2-Aug,,,,,,13,18,,22,35,,,,,42,25,25,7,27,25,,30,58,41,37,53,12,40,68,131,169,96,120,,,110,90,4,12,110,56,,
3-Aug,,,,,,11,27,,18,24,,,4,,29,16,10,16,25,47,9,25,31,24,,24,,,44,104,162,142,105,,,187,87,10,20,65,30,,
4-Aug,,,,,,11,20,,12,7,,,12,,11,8,,25,,21,7,13,25,18,,17,,,60,98,127,,82,53,,,22,,10,103,8,,
5-Aug,,,,,,1,11,,4,14,,,6,,14,3,,23,,11,2,18,30,,,9,,23,70,64,161,,88,67,,,37,2,9,60,36,,
6-Aug,,,,,,3,8,,3,14,,,7,,11,5,,20,,10,6,19,17,,,14,9,20,48,57,63,,,,,,55,,9,49,20,,33
7-Aug,,,,,,4,10,,4,2,,,6,,6,5,,29,16,4,8,13,14,7,,4,6,27,77,45,62,,58,22,,26,,,3,39,17,,28
8-Aug,,,,,,2,5,,8,18,,,10,,9,0,,21,19,15,10,10,20,10,4,12,11,24,48,51,38,54,29,21,,28,19,,3,51,11,,24
9-Aug,,,,,,10,4,,3,8,,1,3,,7,0,,11,2,10,2,23,15,4,7,1,7,15,23,30,17,34,36,23,,45,,,6,40,8,,31
10-Aug,,,,,,4,3,,1,19,,15,1,,2,1,7,15,6,,14,28,5,2,10,6,1,7,37,32,22,29,25,22,,44,12,,5,39,12,,
11-Aug,,,,,,3,5,,3,13,,11,5,,10,3,7,5,,,,33,10,2,3,3,5,3,10,14,39,17,28,11,,48,7,,4,21,2,,
12-Aug,,,,,,6,6,,1,12,,18,10,,4,1,7,11,6,,,,3,8,3,1,5,14,25,26,,28,24,17,,24,,,0,25,11,,
13-Aug,,,,,,1,5,0,5,5,,11,2,,2,2,8,6,5,,,,7,5,9,7,3,5,13,33,,23,15,5,,,10,,0,15,6,,
14-Aug,,,,,,7,1,0,1,6,,15,3,,1,2,1,,9,,,4,5,4,6,4,4,6,5,16,,18,14,8,,,5,,0,20,,,
15-Aug,,,,,,3,0,0,1,1,,9,2,,3,0,5,,7,,5,13,5,1,5,11,2,5,8,13,,5,8,6,,,5,,3,24,,,
16-Aug,,,,,,6,1,0,1,,,14,3,,2,1,9,,4,,1,6,5,2,1,2,1,8,11,7,,7,7,,,13,5,,4,12,,,
17-Aug,,,,,,2,0,0,1,,,17,5,,0,2,2,,3,3,0,5,3,3,0,1,0,7,7,9,,10,3,,,20,4,,,9,,,
18-Aug,,,,,,3,0,0,0,,,11,4,,1,0,4,,0,2,1,1,2,3,0,0,0,3,6,23,,6,4,5,,8,2,,,9,1,,5
19-Aug,,,,,,6,0,0,2,,,6,3,,1,1,2,,5,0,0,5,7,0,1,,0,2,4,16,,4,4,4,,2,4,,,15,3,,8
20-Aug,,,,,,5,0,0,0,,,12,3,,0,1,1,,1,2,3,4,4,1,3,,0,7,3,9,,4,1,7,,,2,,,5,5,,6
21-Aug,,,,,,0,0,0,1,,2,11,3,,1,0,0,,3,3,2,1,4,0,0,,1,7,4,8,,7,4,2,,,1,,,6,,2,1
22-Aug,,,,,,2,0,0,0,,7,5,3,,0,1,,,1,1,3,2,1,2,1,1,2,2,7,3,,5,0,1,,,1,2,,4,,2,2
23-Aug,,,,,,4,0,0,0,0,4,5,2,1,1,0,,,0,1,4,1,0,0,2,1,3,0,3,4,,5,1,7,,0,2,0,,1,,4,3
24-Aug,,,,,,1,0,0,0,0,1,6,0,2,0,0,,,0,0,1,0,1,1,0,1,1,7,4,12,,5,3,0,,0,3,1,,1,,0,3
25-Aug,,,,,,2,0,0,0,0,0,5,1,,0,1,,,0,0,0,2,1,2,1,2,2,2,1,8,,3,2,3,,2,1,1,,4,,,1
26-Aug,,,,,,2,0,0,0,0,0,2,1,,0,1,,,0,0,2,4,3,1,0,2,0,3,2,5,1,4,0,0,,1,1,0,,2,,,1
27-Aug,,,,,,1,0,0,0,0,1,2,1,,0,0,,,0,3,1,4,1,2,2,3,1,,2,4,4,1,2,1,2,0,2,1,1,0,,,
28-Aug,,,,,,2,0,0,0,0,1,2,4,,0,0,,,0,2,1,0,0,0,3,0,3,,0,4,5,1,0,0,1,0,0,0,0,0,,,2
29-Aug,,,,,,2,0,0,0,0,0,0,1,,0,0,,,0,1,2,2,0,0,0,0,1,2,0,3,3,0,0,0,3,0,0,0,0,1,,,0
30-Aug,,,,,,1,0,0,0,0,0,0,1,,0,0,,,2,0,0,1,3,13,4,0,2,2,0,2,1,1,1,1,0,0,1,0,0,0,,,2
31-Aug,,,,,,2,0,0,0,0,0,2,1,,0,0,,0,0,1,0,1,4,0,0,0,1,1,0,2,0,1,0,2,0,0,0,0,0,2,,,0
1-Sep,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0
2-Sep,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,1,2,0,1,0,0,3,2,0,1,0,1,1,0,0,0
3-Sep,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,1,1,0,2,0,0,0,0,0,1,0,0,2
4-Sep,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0
5-Sep,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1
6-Sep,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,2
7-Sep,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1
8-Sep,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9-Sep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
11-Sep,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sep,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
14-Sep,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
